reviewId;userName;score;at;content;case_folding;cleaning;normalisasi;tokenizing;stopwords;stemming;cleaned;Score;Sentiment
35ce2efb-b7b9-419a-8363-c9214a847d66;Pengguna Google;5;2024-12-31 14:47:51;top bgt bersih mobil ny & udaranya terasa bersih tdk ada bau asap rokok atw bau yg buat tdk nyaman;top bgt bersih mobil ny & udaranya terasa bersih tdk ada bau asap rokok atw bau yg buat tdk nyaman;top bgt bersih mobil ny udaranya terasa bersih tdk ada bau asap rokok atw bau yg buat tdk nyaman;top banget bersih mobil nya udaranya terasa bersih tidak ada bau asap rokok atau bau yang buat tidak nyaman;['top', 'banget', 'bersih', 'mobil', 'nya', 'udaranya', 'terasa', 'bersih', 'tidak', 'ada', 'bau', 'asap', 'rokok', 'atau', 'bau', 'yang', 'buat', 'tidak', 'nyaman'];['top', 'banget', 'bersih', 'mobil', 'nya', 'udaranya', 'terasa', 'bersih', 'bau', 'asap', 'rokok', 'bau', 'buat', 'nyaman'];['top', 'banget', 'bersih', 'mobil', 'nya', 'udara', 'asa', 'bersih', 'bau', 'asap', 'rokok', 'bau', 'buat', 'nyaman'];top banget bersih mobil nya udara asa bersih bau asap rokok bau buat nyaman;1;Positif
af7f8bcd-dc2c-4889-b8cd-cdd0a33d3017;Pengguna Google;4;2024-12-31 13:08:25;promo nya payah cuma berlaku untuk non tunai.. giliran yang bayar tunai ga bisa promo;promo nya payah cuma berlaku untuk non tunai.. giliran yang bayar tunai ga bisa promo;promo nya payah cuma berlaku untuk non tunai giliran yang bayar tunai ga bisa promo;promo nya payah cuma berlaku untuk non tunai giliran yang bayar tunai tidak bisa promo;['promo', 'nya', 'payah', 'cuma', 'berlaku', 'untuk', 'non', 'tunai', 'giliran', 'yang', 'bayar', 'tunai', 'tidak', 'bisa', 'promo'];['promo', 'nya', 'payah', 'cuma', 'berlaku', 'non', 'tunai', 'giliran', 'bayar', 'tunai', 'promo'];['promo', 'nya', 'payah', 'cuma', 'laku', 'non', 'tunai', 'gilir', 'bayar', 'tunai', 'promo'];promo nya payah cuma laku non tunai gilir bayar tunai promo;3;Positif
358a3433-1a4f-4dda-882d-269957984be0;Pengguna Google;5;2024-12-31 12:10:28;layanan cepat, disiplin, bersih, profesional,;layanan cepat, disiplin, bersih, profesional,;layanan cepat disiplin bersih profesional;layanan cepat disiplin bersih profesional;['layanan', 'cepat', 'disiplin', 'bersih', 'profesional'];['layanan', 'cepat', 'disiplin', 'bersih', 'profesional'];['layan', 'cepat', 'disiplin', 'bersih', 'profesional'];layan cepat disiplin bersih profesional;1;Positif
760e1dd8-6850-4e32-adbc-2474ba588099;Pengguna Google;5;2024-12-30 23:16:18;selalu ok juga mantap ajalah intinya...;selalu ok juga mantap ajalah intinya...;selalu ok juga mantap ajalah intinya;selalu oke juga mantap ajalah intinya;['selalu', 'oke', 'juga', 'mantap', 'ajalah', 'intinya'];['selalu', 'oke', 'mantap', 'ajalah', 'intinya'];['selalu', 'oke', 'mantap', 'aja', 'inti'];selalu oke mantap aja inti;3;Positif
03531485-5881-4a24-b2d6-b6a36fb286cc;Pengguna Google;5;2024-12-30 19:30:30;okelah;okelah;okelah;okelah;['okelah'];['okelah'];['oke'];oke;1;Positif
0f974caa-baf0-410c-b49b-56313466d86e;Pengguna Google;4;2024-12-30 13:41:55;tarifnya diturunin sedikit boleh lah yaa, keseluruhan sudah bagus;tarifnya diturunin sedikit boleh lah yaa, keseluruhan sudah bagus;tarifnya diturunin sedikit boleh lah yaa keseluruhan sudah bagus;tarifnya diturunin sedikit boleh lah ya keseluruhan sudah bagus;['tarifnya', 'diturunin', 'sedikit', 'boleh', 'lah', 'ya', 'keseluruhan', 'sudah', 'bagus'];['tarifnya', 'diturunin', 'sedikit', 'lah', 'keseluruhan', 'bagus'];['tarif', 'diturunin', 'sedikit', 'lah', 'seluruh', 'bagus'];tarif diturunin sedikit lah seluruh bagus;-1;Negatif
9b13f93c-b295-4069-ba1e-975f99cb6285;Pengguna Google;1;2024-12-30 05:32:25;penggunaan pertama langsung kecewa karena aplikasi kaga beres hrs nya ke depan sistem mybluebird kalo mang ke bandung kaga bisa hrs nya dari awal sistem menolak jgn di terima dan proses lama pembelian dana balik aja ke gopay lama 1 jam setengah padahal simpel di bikin ribet.. rencana ke liburan keluarga bandung langsung badmood;penggunaan pertama langsung kecewa karena aplikasi kaga beres hrs nya ke depan sistem mybluebird kalo mang ke bandung kaga bisa hrs nya dari awal sistem menolak jgn di terima dan proses lama pembelian dana balik aja ke gopay lama 1 jam setengah padahal simpel di bikin ribet.. rencana ke liburan keluarga bandung langsung badmood;penggunaan pertama langsung kecewa karena aplikasi kaga beres hrs nya ke depan sistem mybluebird kalo mang ke bandung kaga bisa hrs nya dari awal sistem menolak jgn di terima dan proses lama pembelian dana balik aja ke gopay lama jam setengah padahal simpel di bikin ribet rencana ke liburan keluarga bandung langsung badmood;penggunaan pertama langsung kecewa karena aplikasi tidak beres harus nya ke depan sistem mybluebird kalau mang ke bandung tidak bisa harus nya dari awal sistem menolak jangan di terima dan proses lama pembelian dana balik saja ke gopay lama jam setengah padahal simpel di bikin rumit rencana ke liburan keluarga bandung langsung badmood;['penggunaan', 'pertama', 'langsung', 'kecewa', 'karena', 'aplikasi', 'tidak', 'beres', 'harus', 'nya', 'ke', 'depan', 'sistem', 'mybluebird', 'kalau', 'mang', 'ke', 'bandung', 'tidak', 'bisa', 'harus', 'nya', 'dari', 'awal', 'sistem', 'menolak', 'jangan', 'di', 'terima', 'dan', 'proses', 'lama', 'pembelian', 'dana', 'balik', 'saja', 'ke', 'gopay', 'lama', 'jam', 'setengah', 'padahal', 'simpel', 'di', 'bikin', 'rumit', 'rencana', 'ke', 'liburan', 'keluarga', 'bandung', 'langsung', 'badmood'];['penggunaan', 'pertama', 'langsung', 'kecewa', 'aplikasi', 'beres', 'nya', 'depan', 'sistem', 'mybluebird', 'kalau', 'mang', 'bandung', 'nya', 'awal', 'sistem', 'menolak', 'jangan', 'terima', 'proses', 'lama', 'pembelian', 'dana', 'balik', 'gopay', 'lama', 'jam', 'setengah', 'padahal', 'simpel', 'bikin', 'rumit', 'rencana', 'liburan', 'keluarga', 'bandung', 'langsung', 'badmood'];['guna', 'pertama', 'langsung', 'kecewa', 'aplikasi', 'beres', 'nya', 'depan', 'sistem', 'mybluebird', 'kalau', 'mang', 'bandung', 'nya', 'awal', 'sistem', 'tolak', 'jangan', 'terima', 'proses', 'lama', 'beli', 'dana', 'balik', 'gopay', 'lama', 'jam', 'tengah', 'padahal', 'simpel', 'bikin', 'rumit', 'rencana', 'libur', 'keluarga', 'bandung', 'langsung', 'badmood'];guna pertama langsung kecewa aplikasi beres nya depan sistem mybluebird kalau mang bandung nya awal sistem tolak jangan terima proses lama beli dana balik gopay lama jam tengah padahal simpel bikin rumit rencana libur keluarga bandung langsung badmood;-4;Negatif
f39d7389-e7d2-4e03-aeec-365259f87e5e;Pengguna Google;5;2024-12-30 03:01:52;terbaik;terbaik;terbaik;terbaik;['terbaik'];['terbaik'];['baik'];baik;0;Netral
787ebc20-0d96-479a-bebc-35c11263d7ff;Pengguna Google;4;2024-12-29 04:22:00;saya adalah a lama pelanggan of bluebird grup keduanya silverbird dan goldenbird. tapi dalam the terakhir beberapa tahun, the kualitas of bluebird pengemudi dan mobil telah menurun dari pengemudi yang membawa kurang profesional mobil dan the kualitas of mobil yang adalah kurang nyaman dan kurang bagus. semoga akan ada  evaluasi dari bluebird manajemen.;saya adalah a lama pelanggan of bluebird grup keduanya silverbird dan goldenbird. tapi dalam the terakhir beberapa tahun, the kualitas of bluebird pengemudi dan mobil telah menurun dari pengemudi yang membawa kurang profesional mobil dan the kualitas of mobil yang adalah kurang nyaman dan kurang bagus. semoga akan ada  evaluasi dari bluebird manajemen.;saya adalah a lama pelanggan of bluebird grup keduanya silverbird dan goldenbird tapi dalam the terakhir beberapa tahun the kualitas of bluebird pengemudi dan mobil telah menurun dari pengemudi yang membawa kurang profesional mobil dan the kualitas of mobil yang adalah kurang nyaman dan kurang bagus semoga akan ada evaluasi dari bluebird manajemen;saya adalah a lama pelanggan of bluebird grup keduanya silverbird dan goldenbird tapi dalam the terakhir beberapa tahun the kualitas of bluebird pengemudi dan mobil telah menurun dari pengemudi yang membawa kurang profesional mobil dan the kualitas of mobil yang adalah kurang nyaman dan kurang bagus semoga akan ada evaluasi dari bluebird manajemen;['saya', 'adalah', 'a', 'lama', 'pelanggan', 'of', 'bluebird', 'grup', 'keduanya', 'silverbird', 'dan', 'goldenbird', 'tapi', 'dalam', 'the', 'terakhir', 'beberapa', 'tahun', 'the', 'kualitas', 'of', 'bluebird', 'pengemudi', 'dan', 'mobil', 'telah', 'menurun', 'dari', 'pengemudi', 'yang', 'membawa', 'kurang', 'profesional', 'mobil', 'dan', 'the', 'kualitas', 'of', 'mobil', 'yang', 'adalah', 'kurang', 'nyaman', 'dan', 'kurang', 'bagus', 'semoga', 'akan', 'ada', 'evaluasi', 'dari', 'bluebird', 'manajemen'];['lama', 'pelanggan', 'bluebird', 'grup', 'keduanya', 'silverbird', 'goldenbird', 'terakhir', 'beberapa', 'tahun', 'kualitas', 'bluebird', 'pengemudi', 'mobil', 'menurun', 'pengemudi', 'membawa', 'kurang', 'profesional', 'mobil', 'kualitas', 'mobil', 'kurang', 'nyaman', 'kurang', 'bagus', 'semoga', 'evaluasi', 'bluebird', 'manajemen'];['lama', 'langgan', 'bluebird', 'grup', 'dua', 'silverbird', 'goldenbird', 'akhir', 'beberapa', 'tahun', 'kualitas', 'bluebird', 'kemudi', 'mobil', 'turun', 'kemudi', 'bawa', 'kurang', 'profesional', 'mobil', 'kualitas', 'mobil', 'kurang', 'nyaman', 'kurang', 'bagus', 'moga', 'evaluasi', 'bluebird', 'manajemen'];lama langgan bluebird grup dua silverbird goldenbird akhir beberapa tahun kualitas bluebird kemudi mobil turun kemudi bawa kurang profesional mobil kualitas mobil kurang nyaman kurang bagus moga evaluasi bluebird manajemen;5;Positif
93a45347-b86d-497a-a424-499e21e26bf6;Pengguna Google;4;2024-12-29 02:36:04;diberikan opsi batalkan kepada pengguna bluebird. karena kemarin saya pakai tetapi supirnya oon. jwmput salah mall tapi ngotot benar. akhirnya nunggu lebih 20 menitan juga sepertinya supir baru bisa bawa mobil manual;diberikan opsi batalkan kepada pengguna bluebird. karena kemarin saya pakai tetapi supirnya oon. jwmput salah mall tapi ngotot benar. akhirnya nunggu lebih 20 menitan juga sepertinya supir baru bisa bawa mobil manual;diberikan opsi batalkan kepada pengguna bluebird karena kemarin saya pakai tetapi supirnya oon jwmput salah mall tapi ngotot benar akhirnya nunggu lebih menitan juga sepertinya supir baru bisa bawa mobil manual;diberikan opsi batalkan kepada pengguna bluebird karena kemarin saya pakai tetapi supirnya bodoh jwmput salah mall tapi ngotot benar akhirnya tunggu lebih menitan juga sepertinya supir baru bisa bawa mobil manual;['diberikan', 'opsi', 'batalkan', 'kepada', 'pengguna', 'bluebird', 'karena', 'kemarin', 'saya', 'pakai', 'tetapi', 'supirnya', 'bodoh', 'jwmput', 'salah', 'mall', 'tapi', 'ngotot', 'benar', 'akhirnya', 'tunggu', 'lebih', 'menitan', 'juga', 'sepertinya', 'supir', 'baru', 'bisa', 'bawa', 'mobil', 'manual'];['diberikan', 'opsi', 'batalkan', 'pengguna', 'bluebird', 'kemarin', 'pakai', 'supirnya', 'bodoh', 'jwmput', 'salah', 'mall', 'ngotot', 'benar', 'akhirnya', 'tunggu', 'lebih', 'menitan', 'sepertinya', 'supir', 'baru', 'bawa', 'mobil', 'manual'];['beri', 'opsi', 'batal', 'guna', 'bluebird', 'kemarin', 'pakai', 'supirnya', 'bodoh', 'jwmput', 'salah', 'mall', 'ngotot', 'benar', 'akhir', 'tunggu', 'lebih', 'menit', 'seperti', 'supir', 'baru', 'bawa', 'mobil', 'manual'];beri opsi batal guna bluebird kemarin pakai supirnya bodoh jwmput salah mall ngotot benar akhir tunggu lebih menit seperti supir baru bawa mobil manual;-1;Negatif
7cc53d97-6560-4fde-ab77-9a739bc264d2;Pengguna Google;5;2024-12-28 23:03:22;selalu puas dengan bluebird;selalu puas dengan bluebird;selalu puas dengan bluebird;selalu puas dengan bluebird;['selalu', 'puas', 'dengan', 'bluebird'];['selalu', 'puas', 'bluebird'];['selalu', 'puas', 'bluebird'];selalu puas bluebird;1;Positif
1193115f-4107-4bb3-be2b-bb7e0c8e096e;Pengguna Google;5;2024-12-28 09:21:50;pelayanan sangat baik, dan jumlah unit udah bisa menjangkau daerah yg kecil atau kampung;pelayanan sangat baik, dan jumlah unit udah bisa menjangkau daerah yg kecil atau kampung;pelayanan sangat baik dan jumlah unit udah bisa menjangkau daerah yg kecil atau kampung;pelayanan sangat baik dan jumlah unit sudah bisa menjangkau daerah yang kecil atau kampung;['pelayanan', 'sangat', 'baik', 'dan', 'jumlah', 'unit', 'sudah', 'bisa', 'menjangkau', 'daerah', 'yang', 'kecil', 'atau', 'kampung'];['pelayanan', 'sangat', 'baik', 'jumlah', 'unit', 'menjangkau', 'daerah', 'kecil', 'kampung'];['layan', 'sangat', 'baik', 'jumlah', 'unit', 'jangkau', 'daerah', 'kecil', 'kampung'];layan sangat baik jumlah unit jangkau daerah kecil kampung;-2;Negatif
a3b206cd-da7b-4918-b878-bc47bf377f0d;Pengguna Google;2;2024-12-27 22:17:39;nunggunya lama;nunggunya lama;nunggunya lama;nunggunya lama;['nunggunya', 'lama'];['nunggunya', 'lama'];['nunggunya', 'lama'];nunggunya lama;-1;Negatif
111c9440-f888-43c1-825d-0ef8edce4e0c;Pengguna Google;5;2024-12-27 19:34:54;mantap;mantap;mantap;mantap;['mantap'];['mantap'];['mantap'];mantap;1;Positif
5dac1e44-92a7-4281-9ac7-52fa2158e99a;Pengguna Google;5;2024-12-26 21:25:28;untuk daerah saya terbaik pelayanan;untuk daerah saya terbaik pelayanan;untuk daerah saya terbaik pelayanan;untuk daerah saya terbaik pelayanan;['untuk', 'daerah', 'saya', 'terbaik', 'pelayanan'];['daerah', 'terbaik', 'pelayanan'];['daerah', 'baik', 'layan'];daerah baik layan;0;Netral
3686c949-9c60-41c3-a91c-d020aac3b700;Pengguna Google;5;2024-12-26 11:58:32;pelayanan sangat memuaskan;pelayanan sangat memuaskan;pelayanan sangat memuaskan;pelayanan sangat memuaskan;['pelayanan', 'sangat', 'memuaskan'];['pelayanan', 'sangat', 'memuaskan'];['layan', 'sangat', 'muas'];layan sangat muas;1;Positif
7c9b91ca-8db3-4530-9483-c2360b68aa5a;Pengguna Google;5;2024-12-26 04:47:30;keren sekali inovasinya;keren sekali inovasinya;keren sekali inovasinya;keren sekali inovasinya;['keren', 'sekali', 'inovasinya'];['keren', 'sekali', 'inovasinya'];['keren', 'sekali', 'inovasi'];keren sekali inovasi;0;Netral
439d31d8-75c2-4540-bcfc-782b276902bf;Pengguna Google;5;2024-12-26 00:01:37;ribet di pemilihan pembayaran;ribet di pemilihan pembayaran;ribet di pemilihan pembayaran;rumit di pemilihan pembayaran;['rumit', 'di', 'pemilihan', 'pembayaran'];['rumit', 'pemilihan', 'pembayaran'];['rumit', 'pilih', 'bayar'];rumit pilih bayar;-2;Negatif
24cc1c4a-9022-4f85-a17f-579dba99dad7;Pengguna Google;5;2024-12-25 19:04:07;blubert taxi yg besih;blubert taxi yg besih;blubert taxi yg besih;bluebird taxi yang bersih;['bluebird', 'taxi', 'yang', 'bersih'];['bluebird', 'taxi', 'bersih'];['bluebird', 'taxi', 'bersih'];bluebird taxi bersih;0;Netral
1442c719-d5a5-4dbb-8348-58b5f0d08eb4;Pengguna Google;5;2024-12-25 16:55:13;harga terjangkau dan cepat respon juga unit nya selalu bersih dan nyaman.;harga terjangkau dan cepat respon juga unit nya selalu bersih dan nyaman.;harga terjangkau dan cepat respon juga unit nya selalu bersih dan nyaman;harga terjangkau dan cepat respons juga unit nya selalu bersih dan nyaman;['harga', 'terjangkau', 'dan', 'cepat', 'respons', 'juga', 'unit', 'nya', 'selalu', 'bersih', 'dan', 'nyaman'];['harga', 'terjangkau', 'cepat', 'respons', 'unit', 'nya', 'selalu', 'bersih', 'nyaman'];['harga', 'jangkau', 'cepat', 'respons', 'unit', 'nya', 'selalu', 'bersih', 'nyaman'];harga jangkau cepat respons unit nya selalu bersih nyaman;2;Positif
